"PY"	"TI"	"AU"	"DES"	"IDS"	"DI"	"SO"	"C1S"	"Coder"	"DT"
1985	"LATENT FINGERPRINT DEVELOPMENT WITH LASERS."	"MENZEL ER"	NA	"FLUORESCENCE;  IMAGE PROCESSING;  PHOTOMETRY; FLUORESCENCE POWDER;  FORENSIC ANALYSIS;  LATENT FINGERPRINT ANALYSIS; PHOTOLUMINESCENCE"	NA	"STANDARDIZATION NEWS"	"TEXAS TECH UNIV, TX, USA, TEXAS TECH UNIV, TX, USA"	"Scopus"	"ARTICLE"
1985	"METHODS AND FUTURE PROSPECTS FOR FORENSIC IDENTIFICATION OF HAIRS BY ELECTROPHORESIS"	"MARSHALL RC;GILLESPIE JM;KLEMENT V"	"COMPUTER-BASED IMAGING;  ELECTROPHORESIS;  HAIR"	"DIAGNOSIS;  ELECTROPHORESIS;  FORENSIC MEDICINE;  HAIR;  HUMAN;  HUMAN CELL;  IDENTIFICATION;  LEGAL ASPECT;  METHODOLOGY;  NORMAL HUMAN;  PRELIMINARY COMMUNICATION"	"10.1016/S0015-7368(85)72363-8"	"JOURNAL OF THE FORENSIC SCIENCE SOCIETY"	"CSIRO, DIVISION OF PROTEIN CHEMISTRY, 343 ROYAL PARADE, PARKVILLE, VICTORIA, 3052, AUSTRALIA;BUNDESKRIMINALAMT, WIESBADEN, D-6200, GERMANY"	"Scopus"	"ARTICLE"
1985	"PATHOLOGICAL MYOPHOSPHORYLASE REACTION IN MALIGNANT HYPERTHERMIA [PATHOLOGISCHE MYOPHOSPHORYLASEREAKTION BEI DER MALIGNEN HYPERTHERMIE]"	"ZIEGAN JB;WEIGEL B;SALOMON FV"	"MALIGNANT HYPERTHERMIA; MYOPHOSPHORYLASE REACTION;  MYOPHOSPHORYLASE REACTION; IN MALIGNANT HYPERTHERMIA"	"PHOSPHORYLASE; AUTOPSY;  CLINICAL ARTICLE;  CONTROLLED STUDY;  CYTOLOGY;  DIAGNOSIS;  FATALITY;  FORENSIC MEDICINE;  HISTOCHEMISTRY;  HISTOPATHOLOGY;  HUMAN;  HYPERTHERMIA;  LEGAL ASPECT;  MALIGNANT HYPERTHERMIA;  MUSCLE;  MUSCLE CELL;  PRELIMINARY COMMUNICATION; ADOLESCENT;  ADULT;  AGED;  ANIMAL;  CASE REPORT;  ENGLISH ABSTRACT;  FEMALE;  MALE;  MIDDLE AGE;  MUSCLES;  PHOSPHORYLASES;  SWINE"	"10.1007/BF00205096"	"ZEITSCHRIFT FR RECHTSMEDIZIN"	"INSTITUT FUR PATHOLOGIE DES BEZIRKSKRANKENHAUSES FUR PSYCHIATRIE LEIPZIG, INSTITUT FUR GERICHTLICHE, HISTOLOGIE UND EMBRYOLOGIE) DER KARL-MARX-UNIVERSITT, KARL-MARX-STDTER STR. 50, LEIPZIG, DDR-7039, GERMANY"	"Scopus"	"ARTICLE"
1985	"PATTERNS OF PULMONARY STRUCTURAL REMODELING AFTER EXPERIMENTAL PARAQUAT TOXICITY. THE MORPHOGENESIS OF INTRAALVEOLAR FIBROSIS"	"FUKUDA Y;FERRANS VJ;SCHOENBERGER CI;RENNARD SI;CRYSTAL RG"	NA	"FIBRONECTIN;  PARAQUAT; ANIMAL CELL;  ANIMAL EXPERIMENT;  AUTOPSY;  CYTOLOGY;  ELECTRON MICROSCOPY;  ETIOLOGY;  FORENSIC MEDICINE;  HISTOLOGY;  HISTOPATHOLOGY;  IMMUNOHISTOCHEMISTRY;  INTOXICATION;  LUNG FIBROSIS;  MONKEY;  NONHUMAN;  PRIORITY JOURNAL;  RESPIRATORY SYSTEM; ANIMALS;  BASEMENT MEMBRANE;  COLLAGEN;  CONNECTIVE TISSUE;  EPITHELIUM;  FIBRONECTINS;  HISTOCYTOCHEMISTRY;  IMMUNOLOGIC TECHNIQUES;  LUNG;  MACACA FASCICULARIS;  MICROSCOPY; ELECTRON;  MODELS; BIOLOGICAL;  PULMONARY ALVEOLI;  PULMONARY FIBROSIS;  TIME FACTORS"	NA	"AMERICAN JOURNAL OF PATHOLOGY"	"PATHOLOGY AND PULMONARY BRANCHES, NATIONAL HEART, LUNG, AND BLOOD INSTITUTE, BETHESDA, MD, UNITED STATES"	"Scopus"	"ARTICLE"
1985	"PROBLEMS OF ASBESTOS FIBRE ANALYSIS IN LUNG DUST [PROBLEME DES ASBESTFASER-NACHWEISES IM LUNGENSTAUB]"	"RODELSPERGER K;WOITOWITZ HJ;MANKE J"	NA	"ASBESTOS FIBER; CLINICAL ARTICLE;  DIAGNOSIS;  ELECTRON MICROSCOPY;  FORENSIC MEDICINE;  HUMAN;  INTOXICATION;  LEGAL ASPECT;  LUNG;  OCCUPATIONAL DISEASE;  RESPIRATORY SYSTEM;  SHORT SURVEY"	NA	"ATEMWEGS- UND LUNGENKRANKHEITEN"	"ARBEITS- UND SOZIALMEDIZIN, D-6300 GIESSEN, GERMANY"	"Scopus"	"ARTICLE"
1985	"RECONSTRUCTION OF THE SEATING POSITION BY MEANS OF MICROTRACE ANALYSIS [DIE REKONSTRUKTION DER SITZPOSITION DURCH MIKROSPURENANALYSE]"	"SCHWARZ G;TEIGE K;BRINKMANN B"	"FIBER-MELTING TRACES;  MICROTRACE ANALYSIS;  RECONSTRUCTION OF THE SEATING POSITION"	"CAR DRIVING;  CAR PASSENGER;  CASE REPORT;  DIAGNOSIS;  ELECTRON MICROSCOPY;  FATALITY;  FORENSIC MEDICINE;  HUMAN;  INJURY;  LEGAL ASPECT;  PRELIMINARY COMMUNICATION;  SITTING;  TRAFFIC ACCIDENT; ACCIDENTS; TRAFFIC;  ADOLESCENT;  ADULT;  ALCOHOLIC INTOXICATION;  BLOOD STAINS;  CLOTHING;  ENGLISH ABSTRACT;  FEMALE;  MALE;  POSTURE;  SEAT BELTS;  WOUNDS AND INJURIES"	"10.1007/BF00204085"	"ZEITSCHRIFT FR RECHTSMEDIZIN"	"INSTITUT FR RECHTSMEDIZIN DER UNIVERSITT MNSTER, VON-ESMARCH-STR. 86, MNSTER, D-4400, GERMANY"	"Scopus"	"ARTICLE"
1985	"ROUTINE DETECTION AND IDENTIFICATION OF ASBESTOS"	"MCCRONE WC"	NA	"AMOSITE;  ASBESTOS;  ASBESTOS FIBER;  CHRYSOTILE;  CROCIDOLITE; BUILDING MATERIAL;  CLINICAL ARTICLE;  DEMOLITION;  DIAGNOSIS;  EDITORIAL;  EDUCATION;  ETIOLOGY;  FORENSIC MEDICINE;  GEOGRAPHIC DISTRIBUTION;  IDENTIFICATION;  INTOXICATION;  METHODOLOGY;  NONHUMAN;  RESPIRATORY SYSTEM;  TECHNIQUE;  THEORETICAL STUDY"	NA	"MICROSCOPE"	"MCCRONE RESEARCH INSTITUTE, CHICAGO, IL 60616, UNITED STATES"	"Scopus"	"ARTICLE"
1985	"SCOTCH MAGIC TAPE. AN AID TO THE MICROSCOPIST FOR DUST EXAMINATION"	"NICHOLS G"	NA	"ADHESIVE AGENT; DIAGNOSIS;  DUST;  EDUCATION;  EXAMINATION;  FIBER;  FIXATION;  FORENSIC MEDICINE;  HISTOLOGY;  INDUSTRIAL HYGIENE;  METHODOLOGY;  MICROSCOPY;  NONHUMAN;  PARTICULATE MATTER;  PRELIMINARY COMMUNICATION;  SAMPLE;  SAND;  THEORETICAL STUDY"	NA	"MICROSCOPE"	"MICRO-ANALYSIS CONSULTANTS LTD., ST. IVES, CAMBRIDGESHIRE PE17 4LF, UNITED KINGDOM"	"Scopus"	"ARTICLE"
1985	"THE ANALYSIS OF TEXTILE MATERIALS AND TEXTILE ADDITIVES BY FOURIER TRANSFORM INFRARED (FTIR) PHOTOACOUSTIC SPECTROSCOPY (PAS)"	"HODSON J"	NA	"ADDITIVES;  DATA HANDLING;  FOURIER TRANSFORMS;  PHOTOACOUSTIC SPECTROSCOPY;  SPECTRUM ANALYSIS;  SYNTHETIC TEXTILE FIBERS;  TEXTILES; EXTENDED RANGE;  FOURIER TRANSFORM INFRARED;  FT-IR/PAS;  SYNTHETIC MATERIALS;  TEXTILE ADDITIVES;  TEXTILE MATERIALS; FOURIER TRANSFORM INFRARED SPECTROSCOPY"	"10.1117/12.970740"	"PROCEEDINGS OF SPIE - THE INTERNATIONAL SOCIETY FOR OPTICAL ENGINEERING"	"QUALITY ASSURANCE/TECHNICAL SUPPORT (MATERIALS CENTRE), ROYAL ARSENAL EAST, WOOLWICH, LONDON, SE18 6TD, UNITED KINGDOM"	"Scopus"	"CONFERENCE MATERIAL"
1985	"THE DIAGNOSIS OF DIFFUSE AXONAL INJURY IN ROUTINE AUTOPSY PRACTICE"	"SIMPSON RHW;BERSON DS;SHAPIRO HA"	"AUTOPSY;  DIFFUSE AXONAL INJURY;  HEAD INJURY"	"ADULT;  AUTOPSY;  BRAIN INJURY;  CASE REPORT;  CENTRAL NERVOUS SYSTEM;  DIAGNOSIS;  FORENSIC MEDICINE;  HEAD INJURY;  HISTOLOGY;  HISTOPATHOLOGY;  HUMAN;  INJURY;  LEGAL ASPECT;  NERVE FIBER;  NERVOUS SYSTEM;  PRIORITY JOURNAL;  SHORT SURVEY; ACCIDENTS; TRAFFIC;  ADULT;  AXONS;  BRAIN;  BRAIN CONCUSSION;  BRAIN DAMAGE; CHRONIC;  MALE"	"10.1016/0379-0738(85)90142-2"	"FORENSIC SCIENCE INTERNATIONAL"	"DEPARTMENT OF NEUROPATHOLOGY, SCHOOL OF PATHOLOGY OF THE UNIVERSITY OF THE WITWATERSRAND AND THE SOUTH AFRICAN INSTITUTE FOR MEDICAL RESEARCH, P.O. BOX 1038, JOHANNESBURG, 2000 TRANSVAAL, SOUTH AFRICA, SOUTH AFRICA;DEPARTMENT OF FORENSIC MEDICINE, UNIVERSITY OF THE WITWATERSRAND, DEPARTMENT OF HEALTH, WELFARE AND PENSIONS, JOHANNESBURG, SOUTH AFRICA;UNIVERSITY OF SOUTH AFRICA, DEPARTMENT OF FORENSIC MEDICINE, UNIVERSITY OF THE WITWATERSRAND, JOHANNESBURG, SOUTH AFRICA"	"Scopus"	"ARTICLE"
1985	"THE RISK OF SEQUELAE OF ASBESTOS INHALATION IN MOTOR MECHANICS WORKING IN BRAKES SERVICES [ZUM RISIKO VON ASBESTINHALATIONSFOLGEN BEI KRAFTFAHRZEUGMECHANIKERN IN BREMSENDIENSTEN]"	"ELLIEHAUSEN HJ;PAUR R;RODELSPERGER K;WOITOWITZ HJ"	NA	"ASBESTOS;  CHRYSOTILE; ADULT;  AIR SAMPLING;  CLINICAL ARTICLE;  CONTROLLED STUDY;  DIAGNOSIS;  EDUCATION;  EPIDEMIOLOGY;  ETIOLOGY;  FORENSIC MEDICINE;  HUMAN;  INHALATION;  LUNG CANCER;  MECHANIC;  MORTALITY;  NORMAL HUMAN;  PRELIMINARY COMMUNICATION;  RESPIRATORY SYSTEM"	NA	"ARBEITSMEDIZIN SOZIALMEDIZIN PRAVENTIVMEDIZIN"	"INSTITUT UND POLIKLINIK FUR ARBEITS- UND SOZIALMEDIZIN DER JUSTUS-LIEBIG-UNIVERSITAT, 6300 GIESSEN, GERMANY"	"Scopus"	"ARTICLE"
1985	"THERMAL ANALYSIS IN FORENSIC SCIENCE"	"LOMBARDI G"	NA	NA	"10.1016/0040-6031(85)85080-2"	"THERMOCHIMICA ACTA"	"DIPARTIMENTO DI SCIENZE DELLA TERRA, UNIVERSIT DEGLI STUDI DI ROMA LA SAPIENZA, ROME, ITALY"	"Scopus"	"ARTICLE"
1985	"ULTRAVIOLET-LASER ABLATION OF SKIN"	"LANE RJ;LINSKER R;WYNNE JJ;TORRES A;GERONEMUS RG"	NA	"FORENSIC MEDICINE;  HUMAN;  HUMAN CELL;  KRYPTON LASER;  METHODOLOGY;  PRELIMINARY COMMUNICATION;  PRIORITY JOURNAL;  SKIN;  SKIN ABLATION;  THERAPY;  ULTRAVIOLET LASER; ANIMALS;  ARGON;  DOSE-RESPONSE RELATIONSHIP; RADIATION;  GUINEA PIGS;  HUMANS;  KRYPTON;  LASERS;  ULTRAVIOLET RAYS"	"10.1001/archderm.1985.01660050061016"	"ARCHIVES OF DERMATOLOGY"	"IBM THOMAS J. WATSON RESEARCH CENTER, YORKTOWN HEIGHTS, NY, UNITED STATES;DEPARTMENT OF DERMATOLOGY, NEW YORK UNIVERSITY MEDICAL CENTER, NEW YORK, UNITED STATES"	"Scopus"	"ARTICLE"
1986	"A STUDY OF THE NUMERICAL DISTRIBUTION OF FIBRES TRANSFERRED FROM BLENDED FABRICS"	"PARYBYK AE;LOKAN RJ"	"BLENDS;  COMPOSITION BY NUMBER;  DIFFERENTIAL TRANSFER;  FIBRES"	"ACRYL;  NYLON;  POLYESTER FIBER;  UNCLASSIFIED DRUG;  VISCOSE; CONTROLLED STUDY;  COTTON;  DIAGNOSIS;  EDUCATION;  ETIOLOGY;  IDENTIFICATION;  LEGAL ASPECT;  NONHUMAN;  PRELIMINARY COMMUNICATION;  PRIORITY JOURNAL;  TEXTILE FIBER;  THEORETICAL STUDY;  TRANSFER;  WOOL"	"10.1016/S0015-7368(86)72447-X"	"JOURNAL OF THE FORENSIC SCIENCE SOCIETY"	"FORENSIC SCIENCE CENTRE, 21 DIVETT PLACE, ADELAIDE, SOUTH AUSTRALIA, 5000, AUSTRALIA"	"Scopus"	"ARTICLE"
1986	"AN IMPROVED METHOD OF PREPARING FIBER CROSS SECTIONS"	"GRIEVE MC;KOTOWSKI TM"	"CRIMINALISTICS;  CROSS-SECTIONS;  FIBERS"	"CONTROLLED STUDY;  CROSS SECTION;  DIAGNOSIS;  EDUCATION;  ETIOLOGY;  IDENTIFICATION;  NONHUMAN;  PRELIMINARY COMMUNICATION;  PRIORITY JOURNAL;  STAINING;  TEXTILE FIBER;  THEORETICAL STUDY"	"10.1016/S0015-7368(86)72443-2"	"JOURNAL OF THE FORENSIC SCIENCE SOCIETY"	"USACIL-EUROPE, BETTS AREA 272, FRIEDBERGER LANDSTRASSE, FRANKFURT AM MAIN, GERMANY"	"Scopus"	"NOTE"
1986	"ANALYSIS OF ASBESTOS FIBERS FROM LUNG TISSUE: RESEARCH AND DIAGNOSTIC USES"	"CHURG A"	NA	"ASBESTOS FIBER; ADULT;  ASBESTOS BODY;  ASBESTOSIS;  CASE REPORT;  DIAGNOSIS;  EDITORIAL;  EDUCATION;  ETIOLOGY;  FORENSIC MEDICINE;  HISTOLOGY;  HISTOPATHOLOGY;  HUMAN;  HUMAN CELL;  INTOXICATION;  LUNG;  ORGANIZATION AND MANAGEMENT;  PRELIMINARY COMMUNICATION;  RESEARCH;  RESPIRATORY SYSTEM"	"10.1055/s-2007-1012623"	"SEMINARS IN RESPIRATORY MEDICINE"	"DEPARTMENT OF PATHOLOGY, HEALTH SCIENCES CENTRE, HOSPITAL, UNIVERSITY OF BRITISH COLUMBIA, VANCOUVER, BC V6T 1W5, CANADA"	"Scopus"	"ARTICLE"
1986	"APPLICATIONS OF PYROLYSIS GAS CHROMATOGRAPHY/MASS SPECTROMETRY TO TONER MATERIALS FROM PHOTOCOPIERS"	"LEVY EJ;WAMPLER TP"	NA	"PYROGRAPHITE;  PYROLYSATE;  UNCLASSIFIED DRUG; ANALYSIS;  CONTROLLED STUDY;  DIAGNOSIS;  EDUCATION;  ETIOLOGY;  IDENTIFICATION;  NONHUMAN;  PHOTOCOPY;  PRELIMINARY COMMUNICATION;  PRIORITY JOURNAL;  PROBIT METHOD;  PYROLYSIS;  THEORETICAL STUDY"	"10.1520/jfs11880j"	"JOURNAL OF FORENSIC SCIENCES"	"AE/CDS AUTOCLAVE, INC., CHEMICAL DATA SYSTEMS DIVISION, OXFORD, PA 19363, UNITED STATES"	"Scopus"	"ARTICLE"
1986	"ASBESTOS BURDEN AND THE PATHOLOGY OF LUNG CANCER"	"WARNOCK ML;ISENBERG W"	NA	"AMOSITE;  ASBESTOS FIBER;  CROCIDOLITE; ASBESTOSIS;  CLINICAL ARTICLE;  DIAGNOSIS;  ETIOLOGY;  FORENSIC MEDICINE;  HISTOLOGY;  HUMAN;  LUNG CANCER;  LUNG FIBROSIS;  PATHOLOGY;  PRIORITY JOURNAL;  RESPIRATORY SYSTEM"	"10.1378/chest.89.1.20"	"CHEST"	"DEPARTMENT OF PATHOLOGY, UNIVERSITY OF CALIFORNIA, SAN FRANCISCO, CA, UNITED STATES"	"Scopus"	"ARTICLE"
1986	"CLOTHING SET ALIGHT"	"ORVING E"	NA	"ADULT;  ARSON;  BURN;  CENTRAL NERVOUS SYSTEM;  CLASSIFICATION;  CLINICAL ARTICLE;  CLOTHING;  CONTROLLED STUDY;  COTTON;  DIAGNOSIS;  ECONOMIC ASPECT;  EDUCATION;  EPIDEMIOLOGY;  EXPLOSION;  FATALITY;  FIBER;  FIRE;  FORENSIC MEDICINE;  GEOGRAPHIC DISTRIBUTION;  HUMAN;  INJURY;  LEGAL ASPECT;  ORGANIZATION AND MANAGEMENT;  PRELIMINARY COMMUNICATION;  PREVENTION;  TEXTILE"	NA	"TIDSSKRIFT FOR DEN NORSKE LAEGEFORENING"	"PRODUKTKONTROLLAVDELINGEN, STATENS FORURENSNINGSTILSYN, POSTBOKS 8100 DEP., 0032 OSLO 1, NORWAY"	"Scopus"	"ARTICLE"
1986	"COLOR COMPARISON IN QUESTIONED DOCUMENT EXAMINATION USING MICROSPECTROPHOTOMETRY"	"OLSON LA"	NA	"INK; CLASSIFICATION;  CONTROLLED STUDY;  DIAGNOSIS;  DOCUMENT EXAMINATION;  EDUCATION;  ETIOLOGY;  METHODOLOGY;  MICROSPECTROPHOTOMETRY;  NONBIOLOGICAL MODEL;  NONHUMAN;  ORGANIZATION AND MANAGEMENT;  POSTAGE STAMP;  PRELIMINARY COMMUNICATION;  PRIORITY JOURNAL"	"10.1520/jfs11910j"	"JOURNAL OF FORENSIC SCIENCES"	"IRS-CID-FORENSIC LABORATORY, CHICAGO, IL 60606, UNITED STATES"	"Scopus"	"ARTICLE"
1986	"DISTRIBUTION OF TEXTILE FIBERS IN THE PATH OF A BULLET [DIE VERTEILUNG TEXTILER FASERN IM SCHUKANAL]"	"TEIGE K;JAHNKE R;GERLACH D;KEMPERS B;FISCHER M"	"GUNSHOT;  PATH OF A BULLET; FIBER INFILTRATION AND DISTRIBUTION OF TEXTILE FIBERS"	"BULLET;  CLASSIFICATION;  CLOTHING;  CONTROLLED STUDY;  EDUCATION;  EXPERIMENT;  FIBER;  FORENSIC MEDICINE;  NONBIOLOGICAL MODEL;  NONHUMAN;  PRELIMINARY COMMUNICATION;  TEXTILE FIBER; CLOTHING;  FIREARMS;  HUMANS;  MODELS; ANATOMIC;  TEXTILES;  TOMOGRAPHY; EMISSION-COMPUTED;  WOUNDS; GUNSHOT"	"10.1007/BF00200278"	"ZEITSCHRIFT FR RECHTSMEDIZIN"	"INSTITUT FR RECHTSMEDIZIN DER UNIVERSITT MNSTER, VON-ESMARCH-STR. 86, MNSTER, D-4400, GERMANY;UNIVERSITT MNSTER, ABTEILUNG FR NUKLEARMEDIZIN DER MEDIZINISCHEN UNIVERSITTSKLINIK, ALBERT-SCHWEITZER-STR. 33, MNSTER, D-4400, GERMANY"	"Scopus"	"ARTICLE"
1986	"EFFECT OF GARMENT CLEANING ON THE RECOVERY AND REDISTRIBUTION OF TRANSFERRED FIBERS"	"ROBERTSON J;OLANIYAN D"	NA	"ACRYL;  NYLON;  UNCLASSIFIED DRUG; CLEANING;  CLOTHING;  CONTROLLED STUDY;  DIAGNOSIS;  DRY CLEANING;  EDUCATION;  ETIOLOGY;  FIBER;  FORENSIC MEDICINE;  HAIR;  LEGAL ASPECT;  NONHUMAN;  PRELIMINARY COMMUNICATION;  PRIORITY JOURNAL;  THEORETICAL STUDY;  WOOL"	"10.1520/jfs11860j"	"JOURNAL OF FORENSIC SCIENCES"	"FORENSIC SCIENCE UNIT, UNIVERSITY OF STRATHCLYDE, GLASGOW G1 1XW, UNITED KINGDOM"	"Scopus"	"ARTICLE"
1986	"FIBER-PLASTIC FUSIONS IN TRAFFIC ACCIDENT RECONSTRUCTION"	"MASAKOWSKI S;ENZ B;COTHERN JE;ROWE WF"	NA	"PLASTIC; CASE REPORT;  CONTROLLED STUDY;  DIAGNOSIS;  EDUCATION;  ETIOLOGY;  FATALITY;  FIBER;  FORENSIC MEDICINE;  FORENSIC SCIENCE;  HAIR;  HUMAN;  INJURY;  LEGAL ASPECT;  METHODOLOGY;  ORGANIZATION AND MANAGEMENT;  PRELIMINARY COMMUNICATION;  PRIORITY JOURNAL;  TRAFFIC ACCIDENT"	"10.1520/jfs11099j"	"JOURNAL OF FORENSIC SCIENCES"	"THE INSTITUTE FOR SAFETY ANALYSIS, ROCKVILLE, MD, UNITED STATES"	"Scopus"	"ARTICLE"
1986	"ISOLATED MYOCARDITIS AS A CAUSE OF SUDDEN DEATH IN THE FIRST YEAR OF LIFE"	"DESA DJ"	"CHAGAS' DISEASE;  COXSACKIE B;  MYOCARDITIS;  SUDDEN INFANT DEATH"	"AUTOPSY;  CASE REPORT;  COXSACKIE VIRUS;  DIAGNOSIS;  EDITORIAL;  ETIOLOGY;  FORENSIC MEDICINE;  HEART;  HEART DISEASE;  HISTOLOGY;  HISTOPATHOLOGY;  HUMAN;  INFANT;  MYOCARDITIS;  PRIORITY JOURNAL;  SUDDEN INFANT DEATH SYNDROME;  VIROLOGY; COXSACKIEVIRUS INFECTIONS;  ENTEROVIRUS B; HUMAN;  MYOCARDIUM;  ORGAN WEIGHT;  SUDDEN INFANT DEATH"	"10.1016/0379-0738(86)90005-8"	"FORENSIC SCIENCE INTERNATIONAL"	"CHILDREN'S HOSPITAL, HEALTH SCIENCES CENTRE, 678 WILLIAM AVENUE, WINNIPEG, MAN. R3E0W1, CANADA"	"Scopus"	"ARTICLE"
1986	"MORPHOLOGIC BLOOD STAIN ANALYSIS USING HISTOLOGICAL SECTIONS [MORPHOLOGISCHE BLUTSPURENANALYSE AM HISTOLOGISCHEN SCHNITT]"	"MADEA B;SANDER W;BRINKMANN B;RAND S"	NA	"BLOOD AND HEMOPOIETIC SYSTEM;  BLOOD CLOTTING;  BLOOD STAIN;  CLASSIFICATION;  CONTROLLED STUDY;  DIAGNOSIS;  EDUCATION;  ETIOLOGY;  FORENSIC MEDICINE;  HISTOLOGY;  HUMAN;  HUMAN CELL;  PRELIMINARY COMMUNICATION;  TISSUE SECTION;  ARTICLE; BLOOD STAINS;  ENGLISH ABSTRACT;  HISTOLOGICAL TECHNIQUES"	NA	"BEITRAGE ZUR GERICHTLICHEN MEDIZIN"	"INSTITUT FUR RECHTSMEDIZIN, D-4400 MUNSTER, GERMANY"	"Scopus"	"ARTICLE"
1986	"MOVEMENT OF FIBRES BETWEEN WORKING AREAS AS A RESULT OF ROUTINE EXAMINATION OF GARMENTS"	"MOORE JE;JACKSON G;FIRTH M"	"CONTAMINATION;  FIBRES: TRANSFER AND DISPERSAL"	"CLOTHING;  CONTROLLED STUDY;  COTTON;  FIBER;  NONHUMAN;  THEORETICAL STUDY;  WOOL"	"10.1016/S0015-7368(86)72534-6"	"JOURNAL OF THE FORENSIC SCIENCE SOCIETY"	"HOME OFFICE FORENSIC SCIENCE LABORATORY, WASHINGTON HALL, EUXTON, CHORLEY, LANCASHIRE, PR7 6HJ, UNITED KINGDOM"	"Scopus"	"ARTICLE"
1986	"MUSCLE NECROSIS CAUSED BY THE SUB-UNITS OF CROTOXIN"	"KOUYOUMDJIAN JA;HARRIS JB;JOHNSON MA"	NA	"CROTOXIN; ANIMAL EXPERIMENT;  ANIMAL MODEL;  CLASSIFICATION;  CONTROLLED STUDY;  DIAGNOSIS;  EDEMA;  EDUCATION;  ETIOLOGY;  FORENSIC MEDICINE;  INTOXICATION;  MUSCLE;  MUSCLE NECROSIS;  NONHUMAN;  PRELIMINARY COMMUNICATION;  RAT;  REPTILE;  TOXIN SUBUNIT; ANIMAL;  CROTALID VENOMS;  CROTOXIN;  DOSE-RESPONSE RELATIONSHIP; DRUG;  FEMALE;  MUSCLES;  NECROSIS;  RATS; INBRED STRAINS;  REGENERATION;  SUPPORT; NON-U.S. GOV'T"	"10.1016/0041-0101(86)90178-9"	"TOXICON"	"DEPARTMENT OF NEUROLOGY, FACULTY OF MEDICINE, SAO JOSE DO RIO PRETO, SAO PAULO, BRAZIL;MUSCULAR DYSTROPHY GROUP RESEARCH LABORATORIES, REGIONAL NEUROLOGICAL CENTRE, NEWCASTLE GENERAL HOSPITAL, NEWCASTLE UPON TYNE, UNITED KINGDOM"	"Scopus"	"ARTICLE"
1986	"NEW OBSERVATIONS ON CUTANEOUS FIREARM WOUNDS"	"TORRE C;VARETTO L;RICCHIARDI P"	NA	"CLASSIFICATION;  CONTROLLED STUDY;  DIAGNOSIS;  EDITORIAL;  EDUCATION;  ELECTRON MICROSCOPY;  ETIOLOGY;  FIREARM;  FORENSIC MEDICINE;  GUNSHOT INJURY;  HUMAN;  HUMAN CELL;  INJURY;  ORGANIZATION AND MANAGEMENT;  PRELIMINARY COMMUNICATION;  SCANNING ELECTRON MICROSCOPY;  SKIN INJURY"	"10.1097/00000433-198607030-00003"	"AMERICAN JOURNAL OF FORENSIC MEDICINE AND PATHOLOGY"	"DEPARTMENT OF FORENSIC MEDICINE, UNIVERSITY OF TURIN, TURIN, ITALY"	"Scopus"	"ARTICLE"
1986	"POLYMER IDENTIFICATION BY MICROSCOPICAL DISPERSION STAINING"	"SKIRIUS SA"	NA	"POLYMER; CLOTHING;  DIAGNOSIS;  DISPERSION STAINING;  EDUCATION;  FIBER;  FORENSIC MEDICINE;  HISTOLOGY;  METHODOLOGY;  NONHUMAN;  PRELIMINARY COMMUNICATION;  STAINING;  TEXTILE;  THEORETICAL STUDY;  TRACE EVIDENCE"	NA	"MICROSCOPE"	"MCCRONE RESEARCH INSTITUTE, CHICAGO, IL 60616, UNITED STATES"	"Scopus"	"ARTICLE"
1986	"RESULTS OF A STUDY TO DETERMINE THE PROBABILITY OF CHANCE MATCH OCCURRENCES BETWEEN FIBERS KNOWN TO BE FROM DIFFERENT SOURCES"	"FONG W;INAMI SH"	NA	"ACRYL;  NYLON;  UNCLASSIFIED DRUG; CLOTHING;  CONTROLLED STUDY;  DIAGNOSIS;  EDUCATION;  ETIOLOGY;  FIBER;  FORENSIC MEDICINE;  LEGAL ASPECT;  NONHUMAN;  PRELIMINARY COMMUNICATION;  PRIORITY JOURNAL;  PROBABILITY;  THEORETICAL STUDY;  WOOL"	"10.1520/jfs11859j"	"JOURNAL OF FORENSIC SCIENCES"	"OFFICE OF THE DISTRICT ATTORNEY, SANTA CLARA COUNTY LABORATORY OF CRIMINALISTICS, SAN JOSE, CA 95112, UNITED STATES"	"Scopus"	"ARTICLE"
1986	"SMALL SAMPLES YIELD TO FTIR MICROANALYSIS."	"SMITH SL"	NA	"INFRARED DEVICES; MICROSCOPES"	NA	"RESEARCH AND DEVELOPMENT (BARRINGTON, ILLINOIS)"	"IBM, DANBURY, CT, USA, IBM, DANBURY, CT, USA"	"Scopus"	"ARTICLE"
