"TI"	"PY"	"AU"	"DEW"	"IDW"	"DES"	"IDS"	"C1W"	"C1"	"C1S"	"DOI"	"SO"	"DT"	"Coder"	"DE"
"COMMENTS ON UNASSISTED SMOTHERING IN A PILLOW"	2011	"SCHYMA C;MADEA B"	""	""	"FIBRES;  PILLOW;  SMOTHERING;  TRACHEOBRONCHIAL LAVAGE"	"ACID ASPIRATION;AGED;ASPHYXIA;BED;CASE REPORT;CERVICAL SPINE;CONTUSION;FEMALE;FORENSIC PATHOLOGY;HEART MUSCLE;HEMATOMA;HOMICIDE;HUMAN;INJURY;LIP;LUNG LAVAGE;NOTE;PATHOLOGY;PURPURA;RIB FRACTURE;TEXTILE;BEDDING AND LINENS;BRONCHOALVEOLAR LAVAGE;CERVICAL VERTEBRAE;CONTUSIONS;HUMANS;MYOCARDIUM;RESPIRATORY ASPIRATION;RIB FRACTURES;TEXTILES"	NA	"INSTITUT FR RECHTSMEDIZIN BONN,UNIVERSITTSKLINIKUM BONN,STIFTSPLATZ 12,BONN 53111,GERMANY; INSTITUT FR RECHTSMEDIZIN DER UNIVERSITT BONN,GERMANY"	"INSTITUT FR RECHTSMEDIZIN BONN,UNIVERSITTSKLINIKUM BONN,STIFTSPLATZ 12,BONN 53111,GERMANY; INSTITUT FR RECHTSMEDIZIN DER UNIVERSITT BONN,GERMANY"	"10.1007/s00414-009-0409-9"	"INTERNATIONAL JOURNAL OF LEGAL MEDICINE"	"ARTICLE"	"Scopus"	";FIBRES;PILLOW;SMOTHERING;TRACHEOBRONCHIAL LAVAGE"
"COMPACT AND PORTABLE MULTILINE UV & VISIBLE RAMAN LASERS IN HYDROGEN-FILLED HC-PCF"	2010	"WANG YY;COUNY F;LIGHT PS;MANGAN BJ;BENABID F"	""	""	""	"HYDROGEN;MEDICAL APPLICATIONS;BIOMEDICAL APPLICATIONS;DISCRETE COMPONENTS;MICRO CELL;NARROW-LINE WIDTH;RAMAN LASERS;SPECTRAL POWER DENSITY;PHOTONIC CRYSTAL FIBERS"	NA	"CENTRE FOR PHOTONICS AND PHOTONIC MATERIALS,UNIVERSITY OF BATH,CLAVERTON DOWN,BATH,BA2 7AY,UNITED KINGDOM"	"CENTRE FOR PHOTONICS AND PHOTONIC MATERIALS,UNIVERSITY OF BATH,CLAVERTON DOWN,BATH,BA2 7AY,UNITED KINGDOM"	"10.1364/cleo.2010.ctum2"	"LASERS AND ELECTRO-OPTICS/QUANTUM ELECTRONICS AND LASER SCIENCE CONFERENCE: 2010 LASER SCIENCE TO PHOTONIC APPLICATIONS CLEO/QELS 2010"	"CONFERENCE PAPER"	"Scopus"	""
"COMPACT AND PORTABLE MULTILINE UV AND VISIBLE RAMAN LASERS IN HYDROGEN-FILLED HC-PCF"	2010	"BENABID F;WANG YY;COUNY F;LIGHT PS;MANGAN BJ;MANGAN F"	""	"PHOTONIC CRYSTAL FIBER; SUPERCONTINUUM GENERATION"	""	"BINARY ALLOYS;HYDROGEN;MEDICAL APPLICATIONS;NONLINEAR OPTICS;PHOTONIC CRYSTAL FIBERS;SPECTRAL DENSITY;SUPERCOMPUTERS;BIOMEDICAL APPLICATIONS;DIODE PUMPED SOLID-STATE LASER;DISCRETE COMPONENTS;HOLLOW CORE PHOTONIC CRYSTAL FIBER;KAGOME LATTICE STRUCTURES;NARROW-LINE WIDTH;ORDERS OF MAGNITUDE;SUPERCONTINUUM SOURCES;PUMPING (LASER);ARTICLE;LASER;PHOTON;RAMAN SPECTROMETRY;SCANNING ELECTRON MICROSCOPY;ULTRAVIOLET RADIATION;LASERS;MICROSCOPY;ELECTRON;SCANNING;PHOTONS;SPECTRUM ANALYSIS;RAMAN;ULTRAVIOLET RAYS"	"BENABID, F (CORRESPONDING AUTHOR), UNIV BATH, DEPT PHYS, CTR PHOTON \& PHOTON MAT, BATH BA2 7AY, AVON, ENGLAND; WANG, Y Y; COUNY, F; LIGHT, P S; MANGAN, B J; BENABID, F, UNIV BATH, DEPT PHYS, CTR PHOTON \& PHOTON MAT, BATH BA2 7AY, AVON, ENGLAND"	"CENTRE FOR PHOTONICS AND PHOTONIC MATERIALS,DEPARTMENT OF PHYSICS,UNIVERSITY OF BATH,BATH,BA2 7AY,UNITED KINGDOM"	"CENTRE FOR PHOTONICS AND PHOTONIC MATERIALS,DEPARTMENT OF PHYSICS,UNIVERSITY OF BATH,BATH,BA2 7AY,UNITED KINGDOM"	"10.1364/ol.35.001127 10.1364/OL.35.001127"	"OPTICS LETTERS"	"ARTICLE"	"Scopus,WebOfScience"	""
"COMPACT RAMAN INSTRUMENTATION FOR PROCESS AND ENVIRONMENTAL MONITORING"	1991	"CARRABBA MM;SPENCER KM;RAUH RD"	""	""	""	"CHARGE COUPLED DEVICES;COMBUSTION;INFRARED SPECTROSCOPY;LASER EXCITATION;PROCESS MONITORING;ANALYTICAL INSTRUMENT;CLINICAL ANALYSIS;ENVIRONMENTAL MONITORING;ENVIRONMENTAL SENSING;FORENSIC IDENTIFICATION;NONINVASIVE TOOLS;RAMAN INSTRUMENTATION;RAMAN SPECTROMETERS;SPECTROMETERS"	NA	"EIC LABORATORIES,INC.,111 DOWNEY STREET,NORWOOD,MA  02062,UNITED STATES"	"EIC LABORATORIES,INC.,111 DOWNEY STREET,NORWOOD,MA  02062,UNITED STATES"	"10.1117/12.48468"	"PROCEEDINGS OF SPIE - THE INTERNATIONAL SOCIETY FOR OPTICAL ENGINEERING"	"CONFERENCE PAPER"	"Scopus"	""
"COMPARATIVE CHARACTERISTICS OF THE TRACE ELEMENT CONTENT OF HUMAN HAIR, THE HAIR OF CERTAIN ANIMALS, AND SYNTHETIC FIBER [SRAVNITEL'NAIA KHARAKTERISTIKA SODERZHANIIA MIKROLEMENTOV V VOLOSAKH CHELOVEKA, NEKOTORYKH ZHIVOTNYKH I SINTETICHESKIKH VOLOKNAKH.]"	1969	"ASHURBEKOV TR"	""	""	""	"POLYMER;TRACE ELEMENT;ANIMAL;ARTICLE;CAT;FORENSIC MEDICINE;GOAT;HAIR;HUMAN;SWINE;CATS;GOATS;POLYMERS;TRACE ELEMENTS"	NA	"NA"	"NA"	""	"SUDEBNO-MEDITSINSKAYA EKSPERTIZA"	"ARTICLE"	"Scopus"	""
"COMPARATIVE ELECTRON-MICROSCOPIC INVESTIGATION OF POSTMORTEM HUMAN HEART MUSCLE BIOPSY"	1983	"SOMOGYI E;BALOGH I;SOTONYI P;KERENYI NA"	""	""	""	"CYTOCHROME C OXIDASE;SUCCINATE DEHYDROGENASE;CLINICAL ARTICLE;DIAGNOSIS;ELECTRON MICROSCOPY;FATALITY;FORENSIC MEDICINE;HEART;HEART INFARCTION;HEART MUSCLE;HISTOLOGY;HISTOPATHOLOGY;HUMAN;LEGAL ASPECT;SUDDEN DEATH"	NA	"SEMMELWEIS UNIV. MED. SCH.,1450 BUDAPEST,HUNGARY"	"SEMMELWEIS UNIV. MED. SCH.,1450 BUDAPEST,HUNGARY"	"10.1097/00000433-198303000-00002"	"AMERICAN JOURNAL OF FORENSIC MEDICINE AND PATHOLOGY"	"ARTICLE"	"Scopus"	""
"COMPARATIVE POPULATION STUDIES OF FIBRES SECURED IN POLAND, CZECH REPUBLIC AND GERMANY [PORWNAWCZE BADANIA POPULACYJNE WKIEN ZABEZPIECZONYCH W POLSCE, REPUBLICE CZESKIEJ I NIEMCZECH]"	2004	"WAS-GUBALA J"	""	""	"CLASSIFICATION;  FIBRE;  POPULATION RESEARCH"	"ARTICLE;COLOR;COMPARATIVE STUDY;CZECH REPUBLIC;FIBER;FORENSIC SCIENCE;GERMANY;POLAND;POPULATION RESEARCH;TEXTILE"	NA	"INSTITUTE OF FORENSIC RESEARCH,CRACOW,POLAND"	"INSTITUTE OF FORENSIC RESEARCH,CRACOW,POLAND"	""	"Z ZAGADNIEN NAUK SADOWYCH"	"ARTICLE"	"Scopus"	";CLASSIFICATION;FIBRE;POPULATION RESEARCH"
"COMPARING THE COLOR OF FORENSIC TRACES"	2012	"ZIEBA-PALUS J;TRZCINSKA BM"	"COLOR COMPARISON; FORENSIC TRACES; VIS SPECTROSCOPY"	"THIN-LAYER-CHROMATOGRAPHY; BALLPOINT PEN INKS; REFLECTANCE FACTOR; DISTRIBUTION; SINGLE TEXTILE FIBERS; INFRARED-SPECTROSCOPY; AUTOMOTIVE; PAINTS; DISCRIMINATION; BLACK; MICROSPECTROPHOTOMETRY; CLASSIFICATION"	"COLOR COMPARISON;  FORENSIC TRACES;  VIS SPECTROSCOPY"	"NA"	"ZIEBA-PALUS, J (CORRESPONDING AUTHOR), INST FORENS RES, ST WESTERPLATTE 9, PL-31033 KRAKOW, POLAND; ZIEBA-PALUS, JANINA; TRZCINSKA, BEATA M, INST FORENS RES, PL-31033 KRAKOW, POLAND"	"INSTITUTE OF FORENSIC RESEARCH,CRIMINALISTIC,ST. WESTERPLATTE 9,31-033 KRAKOW,POLAND"	"INSTITUTE OF FORENSIC RESEARCH,CRIMINALISTIC,ST. WESTERPLATTE 9,31-033 KRAKOW,POLAND"	"10.1080/00032719.2012.675483"	"ANALYTICAL LETTERS"	"ARTICLE"	"Scopus,WebOfScience"	"COLOR COMPARISON;FORENSIC TRACES;VIS SPECTROSCOPY"
"COMPARING TRACER GAS SAMPLING METHODS IN UNDERGROUND MINES USING SOLID-PHASE MICROEXTRACTION (SPME) FIBERS"	2011	"PATTERSON R;JACKSON K;LUXBACHER K;MCNAIR H;BOGGESS R"	""	""	""	"ANALYTES;ELECTRON CAPTURE;ENVIRONMENTAL SAMPLING;INDUSTRY STANDARDS;PLASTIC SYRINGES;PRACTICAL ISSUES;RAPID RESPONSE;RELATIVE STANDARD ERROR;SAMPLE COLLECTION;SAMPLING METHOD;SAMPLING TECHNIQUE;SOLID-PHASE MICROEXTRACTION FIBERS;SOLVENTLESS METHOD;TRACER GAS;UNDERGROUND MINE;VALIDATED RESULTS;VENTILATION SYSTEMS;GAS CHROMATOGRAPHY;INDUSTRY;NITROGEN;SAMPLING;STANDARDS;SULFUR;SULFUR HEXAFLUORIDE;SYRINGES;VENTILATION;EXTRACTION;ACCURACY ASSESSMENT;EXTRACTION METHOD;GAS FLOW;INDUSTRIAL TECHNOLOGY;MINING INDUSTRY;SUBTERRANEAN ENVIRONMENT;SULFUR COMPOUND;TRACER"	NA	"VIRGINIA TECHNICAL UNIVERSITY,BLACKSBURG,VA,UNITED STATES"	"VIRGINIA TECHNICAL UNIVERSITY,BLACKSBURG,VA,UNITED STATES"	""	"MINING ENGINEERING"	"ARTICLE"	"Scopus"	""
"COMPARISON AND EVALUATION OF FRACTURE RESISTANCE OF ENDODONTICALLY TREATED MAXILLARY CENTRAL INCISORS WITH 3 DIFFERENT BONDED POST AND CORES: AN IN VITRO STUDY"	2019	"IGNATIOUS V;THILAK SHETTY B;SALDANHA S;RODRIGUES S;MAHESH M;PAI U;HEGDE P"	""	""	"CAST;  CORE;  NI-CR;  POST;  ZIRCONIA"	"RESIN CEMENT;ZIRCONIUM OXIDE;ARTICLE;CEMENTOENAMEL JUNCTION;COMPARATIVE STUDY;DENTAL CASTING;ENDODONTICS;HUMAN;IN VITRO STUDY;MAXILLARY CENTRAL INCISOR"	NA	"DEPARTMENT OF PROSTHODONTICS,CROWN AND BRIDGE,MANIPAL COLLEGE OF DENTAL SCIENCES,MANGALORE,MANIPAL ACADEMY OF HIGHER EDUCATION,INDIA"	"DEPARTMENT OF PROSTHODONTICS,CROWN AND BRIDGE,MANIPAL COLLEGE OF DENTAL SCIENCES,MANGALORE,MANIPAL ACADEMY OF HIGHER EDUCATION,INDIA"	"10.5958/0973-9130.2019.00302.5"	"INDIAN JOURNAL OF FORENSIC MEDICINE AND TOXICOLOGY"	"ARTICLE"	"Scopus"	";CAST;CORE;NI-CR;POST;ZIRCONIA"
"COMPARISON OF GUNSHOT INJURIES CAUSED FROM TOKAREV, MAKAROV AND GLOCK 19 PISTOLS AT FIRING DISTANCES OF 1, 3 AND 5 CM"	2010	"LEPIK D;VASSILJEV V"	"GUNSHOT WOUNDS; FIRING DISTANCE; CLOTH AND SKIN INJURIES"	""	"CLOTH AND SKIN INJURIES;  FIRING DISTANCE;  GUNSHOT WOUNDS"	"GUNPOWDER;ARTICLE;EPIDERMIS;GUNSHOT INJURY;HISTOLOGY;SKIN DEFECT;SKIN PENETRATION;TISSUE SECTION;FIREARMS;FORENSIC BALLISTICS;HUMANS;MICROSCOPY;SKIN;SOOT;TEXTILES;WOUNDS;GUNSHOT"	"LEPIK, D (CORRESPONDING AUTHOR), UNIV TARTU, DEPT PATHOL ANAT \& FORENS MED, RAVILA 19, EE-50411 TARTU, ESTONIA; LEPIK, DELIA; VASSILJEV, VITALI, UNIV TARTU, DEPT PATHOL ANAT \& FORENS MED, EE-50411 TARTU, ESTONIA"	"DEPARTMENT OF PATHOLOGICAL ANATOMY AND FORENSIC MEDICINE,UNIVERSITY OF TARTU,RAVILA 19,50411 TARTU,ESTONIA"	"DEPARTMENT OF PATHOLOGICAL ANATOMY AND FORENSIC MEDICINE,UNIVERSITY OF TARTU,RAVILA 19,50411 TARTU,ESTONIA"	"10.1016/j.jflm.2010.08.005"	"JOURNAL OF FORENSIC AND LEGAL MEDICINE"	"ARTICLE"	"Scopus,WebOfScience"	"GUNSHOT WOUNDS;FIRING DISTANCE;CLOTH AND SKIN INJURIES"
"COMPARISON OF INDIVIDUAL CARPET FIBERS USING ENERGY DISPERSIVE X-RAY FLUORESCENCE"	1996	"KOONS RD"	"FORENSIC SCIENCE; CRIMINALISTICS; FIBERS; ELEMENTAL ANALYSIS; X-RAY; FLUORESCENCE"	"SHEET"	"CRIMINALISTICS;  ELEMENTAL ANALYSIS;  FIBERS;  FORENSIC SCIENCE;  X-RAY FLUORESCENCE"	"POLYMER;ARTICLE;DISPERSION;FIBER;FLUORESCENCE;MICROSCOPY;PHOTOSENSITIVITY;PRIORITY JOURNAL;QUALITATIVE DIAGNOSIS;SPECTRAL SENSITIVITY;X RAY ANALYSIS"	"KOONS, RD (CORRESPONDING AUTHOR), FED BUR INVEST ACAD,CTR FORENS SCI RES \& TRAINING,QUANTICO,VA 22135, USA"	"FORENSIC SCIENCE RESEARCH UNIT,FBI LABORATORY,QUANTICO,VA 22135,UNITED STATES; FBI LABORATORY,FSRTC,UNITED STATES"	"FORENSIC SCIENCE RESEARCH UNIT,FBI LABORATORY,QUANTICO,VA 22135,UNITED STATES; FBI LABORATORY,FSRTC,UNITED STATES"	"10.1520/jfs15413j"	"JOURNAL OF FORENSIC SCIENCES"	"ARTICLE"	"Scopus,WebOfScience"	"FORENSIC SCIENCE;CRIMINALISTICS;FIBERS;ELEMENTAL ANALYSIS;X-RAY;FLUORESCENCE;X-RAY FLUORESCENCE"
"COMPARISON OF INJURIES CAUSED BY THE PISTOLS TOKAREV, MAKAROV AND GLOCK 19 AT FIRING DISTANCES OF 10, 15 AND 25 CM"	2005	"LEPIK D;VASILIEV V"	""	""	"CLOTH AND SKIN INJURIES;  FIRING DISTANCE;  GUNSHOT WOUNDS"	"GUNPOWDER;ARTICLE;AUTOPSY;BALLISTICS;BULLET;COMPARATIVE STUDY;CONTROLLED STUDY;EPIDERMIS;GUNSHOT INJURY;HUMAN;HUMAN TISSUE;PARTICLE SIZE;PRIORITY JOURNAL;SKIN INJURY;SOOT;STRATUM CORNEUM;TEXTILE;TEXTILE FIBER;FIREARMS;FORENSIC BALLISTICS;HUMANS;SKIN;TEXTILES;WOUNDS;GUNSHOT"	NA	"DEPARTMENT OF PATHOLOGICAL ANATOMY AND FORENSIC MEDICINE,UNIVERSITY OF TARTU,RAVILA 19,51014 TARTU,ESTONIA; ESTONIAN BUREAU OF FORENSIC MEDICINE,NARVA MNT 46,10150 TALLINN,ESTONIA"	"DEPARTMENT OF PATHOLOGICAL ANATOMY AND FORENSIC MEDICINE,UNIVERSITY OF TARTU,RAVILA 19,51014 TARTU,ESTONIA; ESTONIAN BUREAU OF FORENSIC MEDICINE,NARVA MNT 46,10150 TALLINN,ESTONIA"	"10.1016/j.forsciint.2004.06.030"	"FORENSIC SCIENCE INTERNATIONAL"	"ARTICLE"	"Scopus"	";CLOTH AND SKIN INJURIES;FIRING DISTANCE;GUNSHOT WOUNDS"
"COMPARISON OF OIL SORBENT/VIAL KIT FOR SAMPLING AND PRESERVATION OF LIQUID VOLATILE PETROLEUM"	2010	"KURATA S;IYOZUMI T;AIZAWA N"	"OIL SORBENT; GLASS VIAL; VOLATILE PETROLEUM; SAMPLING; PRESERVATION; HEADSPACE; GCMS"	""	"GLASS VIAL;  HEADSPACE GCMS;  OIL SORBENT;  PRESERVATION;  SAMPLING;  VOLATILE PETROLEUM"	"NA"	"KURATA, S (CORRESPONDING AUTHOR), METROPOLITAN POLICE DEPT, CRIMINAL INVEST LAB, CHIYODA KU, 2 1 1 KASUMIGASEKI, TOKYO 1008929, JAPAN; KURATA, SHOJI; IYOZUMI, TAKESHI; AIZAWA, NAOYUKI, METROPOLITAN POLICE DEPT, CRIMINAL INVEST LAB, CHIYODA KU, TOKYO 1008929, JAPAN"	"CRIMINAL INVESTIGATION LABORATORY,METROPOLITAN POLICE DEPARTMENT,2-1-1 KASUMIGASEKI,CHIYODA-KU,TOKYO 100-8929,JAPAN"	"CRIMINAL INVESTIGATION LABORATORY,METROPOLITAN POLICE DEPARTMENT,2-1-1 KASUMIGASEKI,CHIYODA-KU,TOKYO 100-8929,JAPAN"	"10.1627/jpi.53.359"	"JOURNAL OF THE JAPAN PETROLEUM INSTITUTE"	"ARTICLE"	"Scopus,WebOfScience"	"OIL SORBENT;GLASS VIAL;VOLATILE PETROLEUM;SAMPLING;PRESERVATION;HEADSPACE;GCMS;HEADSPACE GCMS"
"COMPARISON OF SAMPLES OF HUMAN HAIR BY TWO-DIMENSIONAL ELECTROPHORESIS"	1982	"MARSHALL RC;GILLESPIE JM"	""	""	""	"CLINICAL ARTICLE;DIAGNOSIS;ELECTROPHORESIS;FORENSIC MEDICINE;HAIR;HUMAN;IDENTIFICATION;LEGAL ASPECT;METHODOLOGY"	NA	"CSIRO,DIVISION OF PROTEIN CHEMISTRY,343 ROYAL PARADE,PARKVILLE,VICTORIA,3052,AUSTRALIA"	"CSIRO,DIVISION OF PROTEIN CHEMISTRY,343 ROYAL PARADE,PARKVILLE,VICTORIA,3052,AUSTRALIA"	"10.1016/S0015-7368(82)71515-4"	"JOURNAL OF THE FORENSIC SCIENCE SOCIETY"	"ARTICLE"	"Scopus"	""
"COMPARISON OF SPME AND STATIC HEADSPACE ANALYSIS OF BLOOD ALCOHOL CONCENTRATION UTILIZING TWO NOVEL CHROMATOGRAPHIC STATIONARY PHASES"	2013	"WESTLAND JL;DORMAN FL"	"BLOOD-ALCOHOL; HEADSPACE; GC-FID"	"CAPILLARY GAS-CHROMATOGRAPHY; HUMAN-BODY FLUIDS; VOLATILE COMPOUNDS;; ETHANOL; MICROEXTRACTION; EXTRACTION; SAMPLES"	"BLOOD-ALCOHOL;  GC-FID;  HEADSPACE"	"ALCOHOL;BUTANOL;PROPANOL;ACCURACY;ALCOHOL BLOOD LEVEL;ALCOHOL METABOLISM;ANALYTICAL ERROR;ARTICLE;COLUMN CHROMATOGRAPHY;CONCENTRATION (PARAMETERS);CONTROLLED STUDY;GAS CHROMATOGRAPHY;HEADSPACE GAS CHROMATOGRAPHY;INTERMETHOD COMPARISON;LIMIT OF DETECTION;LIMIT OF QUANTITATION;PHYSICAL CHEMISTRY;PRIORITY JOURNAL;SEPARATION TECHNIQUE;SOLID PHASE MICROEXTRACTION;BLOOD-ALCOHOL;GC-FID;HEADSPACE;CENTRAL NERVOUS SYSTEM DEPRESSANTS;ETHANOL;FLAME IONIZATION;FORENSIC TOXICOLOGY;HUMANS"	"DORMAN, FL (CORRESPONDING AUTHOR), PENN STATE UNIV, WHITMORE LABS 107, UNIVERSITY PK, PA 16802 USA; WESTLAND, JESSICA L; DORMAN, FRANK L, PENN STATE UNIV, WHITMORE LABS 107, UNIVERSITY PK, PA 16802 USA"	"PENNSYLVANIA STATE UNIVERSITY,107 WHITMORE LABORATORIES,UNIVERSITY PARK,PA 16802,UNITED STATES"	"PENNSYLVANIA STATE UNIVERSITY,107 WHITMORE LABORATORIES,UNIVERSITY PARK,PA 16802,UNITED STATES"	"10.1016/j.forsciint.2013.05.007"	"FORENSIC SCIENCE INTERNATIONAL"	"ARTICLE"	"Scopus,WebOfScience"	"BLOOD-ALCOHOL;HEADSPACE;GC-FID"
"COMPOSITION AND ABUNDANCE OF PARTICLES PRESENT ON ``POWDER-FREE'' EXAMINATION GLOVES"	2017	"PIRRIE D;PIRRIE AR"	"POWDER FREE GLOVES; SEM-EDS; AUTOMATED ANALYSIS; TRACE EVIDENCE"	"FIBERS"	""	""	"PIRRIE, D (CORRESPONDING AUTHOR), UNIV SOUTH WALES, FAC COMP ENGN \& SCI, SCH APPL SCI, PONTYPRIDD CF37 4AT, RHONDDA CYNON T, WALES; PIRRIE, DUNCAN, UNIV SOUTH WALES, FAC COMP ENGN \& SCI, SCH APPL SCI, PONTYPRIDD CF37 4AT, RHONDDA CYNON T, WALES; PIRRIE, DUNCAN; PIRRIE, ALISTAIR R, HELFORD GEOSCI LLP, HELSTON TR12 6AE, CORNWALL, ENGLAND"	"PIRRIE, D (CORRESPONDING AUTHOR), UNIV SOUTH WALES, FAC COMP ENGN \& SCI, SCH APPL SCI, PONTYPRIDD CF37 4AT, RHONDDA CYNON T, WALES; PIRRIE, DUNCAN, UNIV SOUTH WALES, FAC COMP ENGN \& SCI, SCH APPL SCI, PONTYPRIDD CF37 4AT, RHONDDA CYNON T, WALES; PIRRIE, DUNCAN; PIRRIE, ALISTAIR R, HELFORD GEOSCI LLP, HELSTON TR12 6AE, CORNWALL, ENGLAND"	NA	"10.1016/j.forsciint.2017.08.019"	"FORENSIC SCIENCE INTERNATIONAL"	"ARTICLE"	"WebOfScience"	"POWDER FREE GLOVES;SEM-EDS;AUTOMATED ANALYSIS;TRACE EVIDENCE"
"COMPREHENSIVE EXAMINATION OF CONVENTIONAL AND INNOVATIVE BODY FLUID IDENTIFICATION APPROACHES AND DNA PROFILING OF LAUNDERED BLOOD- AND SALIVA-STAINED PIECES OF CLOTHS"	2018	"KULSTEIN G;WIEGAND P"	"BODY FLUID/TISSUE IDENTIFICATION; FORENSIC RNA ANALYSIS; MESSENGER RNA; BLOOD; SALIVA; STR PROFILING"	"SPECTROMETRY-BASED PROTEOMICS; COMMERCIALLY AVAILABLE KITS;; MESSENGER-RNA; FORENSIC IDENTIFICATION; ARGONAUTE PROTEINS; MICRORNA; MARKERS; SEMEN STAINS; EXPRESSION; APPLICABILITY; TEXTILES"	"BLOOD;  BODY FLUID/TISSUE IDENTIFICATION;  FORENSIC RNA ANALYSIS;  MESSENGER RNA;  SALIVA;  STR PROFILING"	"AMYLASE;MESSENGER RNA;MICROSATELLITE DNA;BLOOD STAIN;CHEMISTRY;DEVICES;DNA FINGERPRINTING;ENZYMOLOGY;HUMAN;IMMUNOAFFINITY CHROMATOGRAPHY;ISOLATION AND PURIFICATION;LAUNDRY;LIGHT;LUMINESCENCE;METABOLISM;POLYMERASE CHAIN REACTION;PROCEDURES;SALIVA;TEST STRIP;TEXTILE;AMYLASES;BLOOD STAINS;HUMANS;IMMUNOCHROMATOGRAPHY;LAUNDERING;LUMINESCENT MEASUREMENTS;MICROSATELLITE REPEATS;REAGENT STRIPS;RNA;MESSENGER;TEXTILES"	"KULSTEIN, G (CORRESPONDING AUTHOR), UNIV HOSP ULM, INST LEGAL MED, ALBERT EINSTEIN ALLEE 23, D-89081 ULM, GERMANY; KULSTEIN, G; WIEGAND, P, UNIV HOSP ULM, INST LEGAL MED, ALBERT EINSTEIN ALLEE 23, D-89081 ULM, GERMANY"	"INSTITUTE OF LEGAL MEDICINE,UNIVERSITY HOSPITAL ULM,ALBERT-EINSTEIN-ALLEE 23,ULM,89081,GERMANY"	"INSTITUTE OF LEGAL MEDICINE,UNIVERSITY HOSPITAL ULM,ALBERT-EINSTEIN-ALLEE 23,ULM,89081,GERMANY"	"10.1007/s00414-017-1691-6"	"INTERNATIONAL JOURNAL OF LEGAL MEDICINE"	"ARTICLE"	"Scopus,WebOfScience"	"BODY FLUID/TISSUE IDENTIFICATION;FORENSIC RNA ANALYSIS;MESSENGER RNA;BLOOD;SALIVA;STR PROFILING"
"COMPUTER-AIDED DATA HANDLING IN CASEWORK"	2001	"BIERMANN TW;DECK S"	""	""	"CASEWORK;  DATA EVALUATION;  FIBRES;  SPECTRAL COMPARISON"	"COMPUTER;CONFERENCE PAPER;DATA ANALYSIS;DOCUMENTATION;FIBER;FORENSIC SCIENCE;INFORMATION PROCESSING"	NA	"FORENSIC SCIENCE INSTITUTE,BUNDESKRIMINALAMT,WIESBADEN,GERMANY"	"FORENSIC SCIENCE INSTITUTE,BUNDESKRIMINALAMT,WIESBADEN,GERMANY"	""	"Z ZAGADNIEN NAUK SADOWYCH"	"CONFERENCE PAPER"	"Scopus"	";CASEWORK;DATA EVALUATION;FIBRES;SPECTRAL COMPARISON"
"COMPUTER-AIDED FIBER ANALYSIS FOR CRIME SCENE FORENSICS"	2012	"HILDEBRANDT M;ARNDT C;MAKRUSHIN A;DITTMANN J"	"FIBER ANALYSIS; CWL-SENSOR; CLASSIFICATION; FEATURE EXTRACTION; FORENSICS"	"IDENTIFICATION"	"CLASSIFICATION;  CWL-SENSOR;  FEATURE EXTRACTION;  FIBER ANALYSIS;  FORENSICS"	"ADHESIVE TAPES;AUTOMATIC CLASSIFICATION;CAR SEATS;CONTACT LESS;CRIME SCENES;CWL-SENSOR;DIGITAL ACQUISITION;EXPERIMENTAL SETUP;FIBER TRACES;FIBER TYPES;FORENSIC ANALYSIS;FORENSICS;GEOMETRICAL FEATURES;PRE-PROCESSING;SHEEP WOOL;SUPERVISED MACHINE LEARNING;WHITE LIGHT;CLASSIFICATION (OF INFORMATION);COMPUTER AIDED ANALYSIS;FEATURE EXTRACTION;LEARNING ALGORITHMS;SENSORS;WOOL;FIBERS;ALGORITHMS;CLASSIFICATION;INFORMATION RETRIEVAL"	"HILDEBRANDT, M (CORRESPONDING AUTHOR), OTTO VON GUERICKE UNIV, RES GRP MULTIMEDIA \& SECUR, DEPT COMP SCI, POB 4120, D-39016 MAGDEBURG, GERMANY; HILDEBRANDT, MARIO; MAKRUSHIN, ANDREY; DITTMANN, JANA, OTTO VON GUERICKE UNIV, RES GRP MULTIMEDIA \& SECUR, DEPT COMP SCI, POB 4120, D-39016 MAGDEBURG, GERMANY; ARNDT, CHRISTIAN; MAKRUSHIN, ANDREY, BRANDENBURG UNIV APPL SCI, D-14737 BRANDENBURG, GERMANY"	"OTTO-VON-GUERICKE UNIVERSITY OF MAGDEBURG,DEPT. OF COMPUTER SCIENCE,RESEARCH GROUP MULTIMEDIA AND SECURITY,PO BOX 4120,39016 MAGDEBURG,GERMANY; BRANDENBURG UNIVERSITY OF APPLIED SCIENCES,PO BOX 2132,14737 BRANDENBURG,GERMANY"	"OTTO-VON-GUERICKE UNIVERSITY OF MAGDEBURG,DEPT. OF COMPUTER SCIENCE,RESEARCH GROUP MULTIMEDIA AND SECURITY,PO BOX 4120,39016 MAGDEBURG,GERMANY; BRANDENBURG UNIVERSITY OF APPLIED SCIENCES,PO BOX 2132,14737 BRANDENBURG,GERMANY"	"10.1117/12.909852"	"PROCEEDINGS OF SPIE - THE INTERNATIONAL SOCIETY FOR OPTICAL ENGINEERING"	"CONFERENCE PAPER"	"Scopus,WebOfScience"	"FIBER ANALYSIS;CWL-SENSOR;CLASSIFICATION;FEATURE EXTRACTION;FORENSICS"
